id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,
65,0.00266,557,186397,607,771,0,0.33,-10088,1,0.0578,73061,4.0,259,1,Sentimental Trash,Sweet Valley,
66,0.000546,597,279240,444,51,2,335,-8.39,0,0.03,120074,4.0,361,1,Get Away,CHVRCHES,
67,0.00781,879,213786,512,1.45e-05,0,134,-7.83,1,0.0775,127.95,4.0,277,1,Look At Wrist,Father,
68,125,726,334173,497,0.89,10,104,-10742,0,0.0433,125004,4.0,472,1,Our Love,Caribou,
69,0.00158,857,134062,831,0.0,2,154,-4664,1,0.0995,106059,4.0,251,1,I Ain't Trippin off Nothin,Ezale,
70,0.0132,807,330920,778,666,0,109,-5485,1,0.0399,120001,4.0,797,1,They Don't Know - Original Mix,Disciples,
71,783,596,196627,639,569,0,331,-6546,1,0.03,124012,4.0,197,1,Sabali,Amadou & Mariam,
72,518,683,155133,708,2.08e-05,4,175,-6852,0,0.0289,106446,4.0,967,1,Spooky,Dusty Springfield,
73,0.0548,768,239908,853,0.13,10,0.0188,-5915,0,0.0427,107234,4.0,887,1,Pick Up The Pieces,Average White Band,
74,727,506,160400,948,0.0,10,0.0904,-5626,1,105,130195,4.0,936,1,Have Love Will Travel,The Sonics,
75,0.000313,457,293533,918,0.000215,11,769,-5295,0,0.0471,105018,4.0,297,1,Capitol,TR/ST,
76,0.34,468,386760,0.58,821,7,0.0737,-8131,1,0.0278,76.27,4.0,324,1,Uncast Shadow Of A Southern Myth,Parquet Courts,
77,0.47,537,232453,447,1.86e-05,9,0.0519,-8261,1,0.0289,84362,3.0,549,1,I Shall Be Released - Remastered,Nina Simone,
78,855,515,378253,217,463,3,598,-13382,0,0.0351,80015,4.0,194,1,Words I Don't Remember,How To Dress Well,
79,0.00502,429,196933,725,1.54e-05,2,266,-6156,1,0.0371,82925,4.0,174,1,To The Top,Twin Shadow,
80,555,791,187210,0.58,0.00155,8,116,-8377,1,0.0588,81678,4.0,733,1,Them Changes (feat. Flying Lotus & Kamasi Washington),Thundercat,
81,186,711,221350,705,0.0,10,148,-6248,0,252,144053,4.0,403,1,Aquafina (feat. GoldLink & Chaz French),Falcons,
82,0.0249,683,201049,824,627,1,0.0533,-8569,0,222,154008,4.0,921,1,Hot Blur,How Sad,
83,0.0108,309,257867,325,854,6,0.0742,-16.4,0,0.0366,175.88,4.0,0.46,1,Summer Madness,Kool & The Gang,
84,193,867,460400,733,0.000219,10,749,-7.54,0,237,97835,4.0,761,1,The Payback,James Brown,
85,0.0192,619,275533,734,263,5,0.0771,-9366,0,0.0343,106034,4.0,853,1,I'm In Love,Fool's Gold,
86,0.00776,898,429897,0.5,292,1,0.0771,-11089,1,0.0571,122281,4.0,868,1,I Need You Tonight,Punkin Machine,
87,0.17,589,206240,745,0.000406,7,376,-8109,1,76,99407,4.0,0.76,1,Everybody Likes Something Good,Ify Jerry Crusade,
88,0.0221,606,234987,668,1.65e-05,5,0.0527,-9168,0,0.0729,158859,4.0,958,1,Dadje Von O Von Non,Gnonnas Pédro,
89,0.0397,786,302840,547,272,1,0.0378,-11416,1,262,92603,4.0,0.68,1,Sugah Daddy,D'Angelo,
90,0.0213,734,321933,548,0.0,11,512,-9682,1,386,128289,4.0,0.72,1,International Players Anthem,Swishahouse,
91,0.0454,812,268421,676,0.0,1,0.0929,-4502,1,0.0491,114047,4.0,399,1,Swerve,ILoveMakonnen,
92,0.00672,876,213246,606,1.06e-05,0,0.14,-5471,1,0.0645,127975,4.0,249,1,Look At Wrist,Father,
93,0.00488,601,467587,873,0.0365,1,113,-5866,0,0.0448,124997,4.0,566,1,Let It Happen,Tame Impala,
94,0.00419,748,213053,741,0.0,6,147,-3103,1,0.0531,128077,4.0,533,1,My Way (feat. Monty),Fetty Wap,
95,0.17,615,214150,814,0.0,9,218,-3903,0,0.0677,144005,4.0,601,1,Walk,Kwabs,
96,0.0604,799,333520,789,0.0,0,0.0338,-8208,1,0.0396,116081,4.0,833,1,The Magnificent Seven - Remastered,The Clash,
97,0.0571,398,247390,776,0.0172,9,303,-7388,0,0.0374,110815,4.0,689,1,NOBO,Tijuana Panthers,
98,716,685,427227,423,518,11,0.0765,-9031,0,0.0475,138034,4.0,649,1,The Gaudy Side of Town,Gayngs,
99,0.0151,706,299799,581,0.0,9,368,-6492,1,55,134009,4.0,463,1,U Mad,Vic Mensa,
100,228,0.63,315595,0.98,0.00661,1,487,-4914,1,59,108009,4.0,805,1,Slumlord,Neon Indian,
101,17,0.57,237480,736,5.74e-05,9,178,-5822,1,0.0844,99.86,4.0,267,1,Leave A Trace,CHVRCHES,
102,247,525,292760,643,0.0,5,106,-6874,0,816,199727,4.0,943,1,Willing & Able,Disclosure,
103,123,698,236760,793,0.0,1,0.0805,-5332,0,105,129948,4.0,0.46,1,White Girl,Shy Glizzy,
104,0.00705,763,213375,773,32,0,772,-4722,1,0.0533,130025,4.0,347,1,Maneuvering,ILoveMakonnen,
105,181,511,160907,769,0.0,4,0.0921,-7032,1,42,129657,4.0,814,1,Be My Baby,The Ronettes,
106,378,506,159253,813,0.0293,4,276,-5.78,1,0.0392,108212,4.0,855,1,Why Don't They Let Us Fall in Love,The Ronettes,
107,677,513,162040,494,6.43e-05,0,143,-5072,1,0.0315,135894,4.0,521,1,Will You Love Me Tomorrow,The Shirelles,
108,488,251,126827,868,7.34e-06,1,818,-2685,1,128,177125,4.0,587,1,One Fine Day,The Chiffons,
109,487,559,111270,633,0.0,7,164,-3265,1,0.0329,72496,4.0,842,1,He's So Fine - 2000 Digital Remaster,The Chiffons,
110,0.7,431,158685,678,6.37e-06,4,199,-7945,1,0.0365,135919,4.0,632,1,Then He Kissed Me,The Crystals,
111,403,683,142333,0.71,0.0,9,86,-7445,1,114,128181,4.0,0.93,1,It's My Party,Lesley Gore,
112,656,0.78,149440,599,0.0,2,129,-10251,1,0.0329,121198,4.0,967,1,Please Mr. Postman,The Marvelettes,
113,0.00904,614,196352,907,0.000131,4,0.36,-2536,0,143,122906,4.0,354,1,Fiesta - Remix,Bomba Estéreo,
114,141,661,196615,531,0.0,7,136,-10113,0,548,93287,5.0,657,1,Queen's Speech 4,Lady Leshurr,
115,119,564,213622,594,0.0,11,536,-9912,0,155,89394,4.0,489,1,I Know There's Gonna Be (Good Times),Jamie xx,
116,0.0659,751,202533,597,0.0,9,0.0881,-6.59,0,125,123997,4.0,168,1,With That (feat. Duke),Young Thug,
117,0.00257,896,267024,623,0.000258,2,39,-8008,1,0.0571,134962,4.0,564,1,Hotline Bling,Drake,
118,0.00256,618,196693,717,0.0,7,625,-5738,1,318,190.05,4.0,601,1,679 (feat. Remy Boyz),Fetty Wap,
119,0.0244,746,222093,873,0.0,7,354,-3803,1,128,148075,4.0,808,1,Trap Queen,Fetty Wap,
120,13,888,200080,483,4.85e-06,6,0.0926,-7797,1,154,125008,4.0,221,1,No Type,Rae Sremmurd,
121,0.0127,443,318750,645,952,6,122,-6.24,1,0.0515,128044,4.0,138,1,Chasing Heaven,Bassnectar,
122,0.00943,507,282273,934,0.0018,8,222,-2325,0,188,175954,4.0,472,1,Speakerbox (feat. Lafa Taylor),Bassnectar,
123,0.000758,695,253773,912,0.000103,10,302,-3331,0,193,160043,4.0,612,1,Movin' Bass - GTA Remix,Rick Ross,
124,674,462,226333,449,0.000632,0,0.0993,-9271,0,0.0916,209686,4.0,748,1,Danger and Dread,Brown Bird,
125,0.0161,526,241440,712,0.0,11,179,-6525,0,0.0356,105009,4.0,299,1,Midnight City,M83,
126,107,645,591707,924,0.0266,10,0.0982,-7697,0,0.0569,90852,4.0,886,1,Water No Get Enemy - Edit,Fela Kuti,
127,0.0134,405,592920,647,7.62e-05,5,819,-6109,0,0.0482,131952,4.0,204,1,Pyramids,Frank Ocean,
128,0.0219,735,269817,641,0.89,7,168,-6177,0,0.0284,105993,4.0,886,1,Hercules Theme,Hercules & Love Affair,
129,0.0452,746,238146,416,7.77e-05,11,0.12,-6607,1,0.0482,132036,4.0,216,1,Rewind,Kelela,
130,0.0551,547,251093,643,0.0,1,267,-8904,1,227,143064,4.0,187,1,My Sub (Pt. 2: The Jackin') - Album Version (Edited),Big K.R.I.T.,
131,0.0224,634,221960,609,0.0,6,99,-8982,1,172,83021,4.0,659,1,Kush,Lil Wayne,
132,244,607,253800,488,0.000177,8,113,-8704,1,193,77021,4.0,0.16,1,9,Willow,
133,0.0668,704,199246,647,1.93e-06,10,101,-7874,0,171,92002,4.0,694,1,Magnets,Disclosure,
134,7.19e-05,558,258187,642,0.00746,5,201,-5206,0,0.0321,99977,4.0,492,1,Don't Move,Phantogram,
135,0.0227,698,248053,804,0.0599,4,566,-6616,1,111,92001,4.0,786,1,Pussy,Brazilian Girls,
136,103,772,191160,582,6.61e-05,4,323,-5.96,0,309,172.03,4.0,564,1,Black Mags,The Cool Kids,
137,0.0956,788,238467,864,0.0,11,335,-5767,1,0.0335,133295,4.0,678,1,Stay Fly - Explicit Album Version,Three 6 Mafia,
138,0.00919,944,261973,839,0.0,11,0.0921,-4141,1,108,136019,4.0,891,1,Sippin On Some Syrup,Three 6 Mafia,
139,354,729,176880,795,0.0,7,536,-4579,1,144,146747,4.0,853,1,Poppin' My Collar - feat. Project Pat - Explicit,Three 6 Mafia,
140,0.00469,721,228933,621,0.0103,1,199,-4378,1,306,159967,4.0,578,1,Sittin' Sidewayz - feat. Big Pokey Explicit,Paul Wall,
141,0.00102,798,227587,751,3.22e-06,1,0.0271,-6335,1,263,162003,4.0,482,1,Gold and a Pager,The Cool Kids,
142,0.0512,851,224653,387,0.0,0,0.0996,-13584,1,334,116629,4.0,365,1,Smell Yo D*ck,Riskay,
143,0.0252,0.34,147467,805,0.0,7,138,-3397,1,0.0387,167922,4.0,654,1,Don't Wanna Lose,Ex Hex,
144,221,767,194066,891,0.0723,4,0.0935,-6426,1,0.0402,122026,4.0,779,1,Endless Rhythm,Baio,
145,937,772,220093,635,18,0,0.0961,-8412,1,0.0536,168039,4.0,592,1,Demon,Shamir,
146,2.13e-05,259,350920,847,823,2,133,-6298,1,0.0332,150162,4.0,682,1,Nothing Ever Happened,Deerhunter,
147,284,633,226747,0.77,0.0,10,308,-6954,0,327,149.97,4.0,324,1,Oh My Darling Don't Meow (Just Blaze Remix),Run The Jewels,
148,0.0962,654,252095,292,0.0031,2,106,-12977,1,474,153547,4.0,111,1,River,Ibeyi,
149,334,726,221787,583,0.00135,0,122,-6434,0,0.23,140943,4.0,0.48,1,The Buzz (feat. Mataya & Young Tapz),Hermitude,
150,0.0648,855,310907,638,0.0,9,162,-4968,0,143,122967,4.0,433,1,All Day,Kanye West,
151,185,704,282253,431,0.0972,8,249,-7893,1,131,146003,4.0,349,1,Blood On the Money,Future,
152,689,658,238560,179,0.0,8,0.17,-10866,1,0.0448,128128,4.0,197,1,River,Leon Bridges,
153,0.000472,502,244204,833,43,2,352,-4982,1,0.0638,142053,4.0,593,1,Trust Me Danny,ILoveMakonnen,
154,0.00157,0.79,217707,676,0.0,8,0.25,-6432,0,271,132002,4.0,314,1,Big Rings,Drake,
155,0.0233,738,242188,849,0.0317,2,309,-6246,1,0.0822,95987,4.0,863,1,Annie,Neon Indian,
156,0.00212,777,500550,739,868,9,109,-9089,1,39,119992,4.0,201,1,Acamar,Frankey,
157,0.0734,791,219333,779,0.0,7,0.0832,-5972,1,235,110037,4.0,581,1,Alright,Kendrick Lamar,
158,0.19,735,275840,0.41,0.0,11,341,-8735,0,0.2,114812,4.0,0.16,1,Know Yourself,Drake,
159,188,556,294360,582,911,6,229,-10.65,0,0.0357,131023,4.0,516,1,Deicide,Crystal Castles,
160,461,427,206387,465,5.52e-05,6,154,-6595,1,0.0291,112137,3.0,462,1,Coming Home,Leon Bridges,
161,0.0111,563,176361,0.81,2.71e-05,8,142,-9158,1,0.0372,99996,4.0,767,1,Hercules Theme 2014,Hercules & Love Affair,
162,0.0496,753,256320,708,0.0123,6,0.0872,-7217,0,223,115004,4.0,445,1,Forever,Majid Jordan,
163,149,785,262979,764,813,4,201,-5245,0,0.04,93984,4.0,961,1,Next to You,Poolside,
164,0.0682,557,293910,608,0.0263,5,196,-7657,0,0.0862,109.67,4.0,211,1,Papi Pacify,FKA twigs,
165,489,594,235693,0.42,0.00452,4,0.0833,-8467,0,31,140.04,4.0,311,1,Magnolia,Young & Sick,
166,0.000259,644,237120,758,0.0708,5,0.0726,-7859,1,0.0458,108.99,4.0,752,1,Dark Matter,Feathers,
167,217,704,185437,657,0.000118,10,0.0888,-7172,0,0.35,150058,4.0,804,1,Callie (feat. Vic Mensa),Donnie Trumpet,
168,0.0472,849,217693,408,0.0,6,101,-8.67,0,284,99876,4.0,337,1,Wu-Tang Forever,Drake,
169,228,628,260947,568,0.0183,10,0.0906,-10695,1,0.14,191404,4.0,618,1,Fame (2007 Remastered),David Bowie,
170,0.00689,717,224933,862,0.0,8,321,-4736,1,54,130021,4.0,512,1,We Dem Boyz,Wiz Khalifa,
171,0.0109,584,243480,0.68,1.03e-06,9,129,-4685,0,0.0524,104.89,4.0,326,1,Ego Free Sex Free,Autre Ne Veut,
172,0.0246,586,374133,806,0.000167,1,353,-9542,1,0.0548,110325,4.0,207,1,Her Fantasy,Matthew Dear,
173,0.00399,648,560600,0.85,294,1,0.35,-6277,1,0.0439,112014,4.0,559,1,Little People (Black City),Matthew Dear,
174,37,807,250130,785,0.000763,8,0.18,-7928,1,148,124051,4.0,421,1,Confess To Me,Disclosure,
175,0.0789,577,355881,941,207,10,342,-4338,1,0.0422,99995,4.0,381,1,Let Me Show You Love,Cut Copy,
176,141,0.5,256093,593,6.21e-06,1,0.0969,-4.34,1,0.0898,68456,4.0,325,1,New Slaves,Kanye West,
177,108,804,336160,708,0.0636,10,0.0528,-5099,0,0.0394,141996,4.0,966,1,Sexy Socialite,Chromeo,
178,0.0108,787,273853,658,0.0152,8,0.13,-5379,0,0.0324,110983,4.0,867,1,Okay,Holy Ghost!,
179,0.0107,246,230230,784,5.71e-06,5,0.0825,-5004,1,0.0529,153027,4.0,189,1,Weight,Mikal Cronin,
180,0.0107,882,284027,743,0.00152,7,327,-6972,1,141,123.97,4.0,678,1,When A Fire Starts To Burn,Disclosure,
181,0.0315,628,308527,824,543,0,0.0999,-7983,1,112,122.01,4.0,0.86,1,When A Fire Starts To Burn - Midland Remix,Disclosure,
182,0.00807,451,179947,0.79,0.0,11,0.0394,-4261,0,0.0461,127142,4.0,674,1,Fake Tales Of San Francisco,Arctic Monkeys,
183,0.64,518,405027,385,0.000536,9,0.0931,-11125,0,0.0286,100878,4.0,264,1,Billie Holiday,Warpaint,
184,0.0414,774,269867,901,4.84e-06,9,873,-5398,0,216,128024,4.0,768,1,Goody Two Shoes,Duck Sauce,
185,0.0127,547,245293,635,5.01e-06,2,0.0585,-5569,1,137,113678,4.0,496,1,The Wire,HAIM,
186,0.0585,552,283636,878,892,1,0.0746,-5767,1,0.0353,176057,4.0,603,1,Awake,Tycho,
187,0.00856,542,216827,946,5.38e-06,10,386,-6307,1,0.0505,108496,4.0,389,1,Man I Need,Jagwar Ma,
188,19,695,246521,0.94,0.8,7,623,-2935,1,127,100262,4.0,337,1,N.O. Bounce,Big Freedia,
189,0.0488,633,224720,492,0.00047,2,0.0758,-7672,1,0.0524,114845,4.0,357,1,Now Is Not The Time,CHVRCHES,
190,365,312,222719,445,0.0038,11,0.13,-7202,0,0.0305,97967,4.0,308,1,No Rest For The Wicked,Lykke Li,
191,0.17,0.43,154414,436,0.0,8,128,-4816,1,119,90053,4.0,0.22,1,Holdin On,Flume,
192,0.0346,0.19,230693,908,0.0369,0,241,-4679,1,111,148951,4.0,181,1,Rocking Chair,The Districts,
193,0.0361,312,281360,907,618,7,363,-6571,1,229,120286,4.0,122,1,Marriage,Gold Panda,
194,0.00818,539,224907,582,0.0717,7,0.15,-7414,1,0.0328,95.07,4.0,249,1,Ride On / Right On,Phosphorescent,
195,613,698,230200,878,1.61e-05,8,518,-307,1,314,182126,4.0,816,1,GodLovesUgly,Atmosphere,
196,0.00275,476,195200,818,757,2,279,-7933,1,0.0318,159089,4.0,745,1,New York City,Christopher Owens,
197,64,568,322544,936,0.00099,0,148,-6365,1,0.0504,150067,4.0,792,1,Moving to the Left,Woods,
198,0.00192,558,301573,0.74,8.97e-06,6,129,-6.22,1,0.0448,118293,4.0,214,1,All These Things That I've Done,The Killers,
199,0.0212,604,187253,894,0.0,2,0.0299,-5.0,1,37,145014,4.0,893,1,Junk of the Heart (Happy),The Kooks,
200,0.0516,718,224267,921,0.0473,5,315,-3978,0,0.0375,121922,4.0,898,1,When The Night Falls - feat. Solange Knowles,Chromeo,
201,0.0855,737,332453,545,9.32e-05,6,153,-8536,0,362,140086,4.0,438,1,Mercy,Kanye West,
202,0.0293,769,214333,712,2.12e-06,8,103,-4692,0,29,120975,4.0,948,1,Don't You Evah,Spoon,
203,0.00731,567,343784,506,205,1,103,-8742,1,0.0264,116392,4.0,354,1,We Exist,Arcade Fire,
204,0.000467,817,213059,588,1.51e-06,7,0.0911,-6603,1,0.0399,119934,4.0,448,1,Le Goudron (Edit),YACHT,
205,0.0411,767,179240,912,402,1,0.0288,-1157,1,54,144084,4.0,496,1,Double Bubble Trouble,M.I.A.,
206,0.000195,0.77,391686,895,897,7,0.0455,-8102,0,0.0488,120986,4.0,678,1,Careless,Dusky,
207,827,712,279800,0.77,548,10,0.0726,-13187,0,0.0345,106963,4.0,973,1,Look at You,George McCrae,
208,0.39,706,131250,577,692,0,407,-6226,0,0.0299,96056,4.0,385,1,How Did I Get Here,ODESZA,
209,0.00471,542,227160,799,0.0161,4,0.0814,-3641,0,0.0354,92215,4.0,426,1,Black Out Days,Phantogram,
210,827,583,248213,776,3.81e-05,3,298,-5293,1,0.0661,126536,4.0,782,1,Bang! Bang!,Joe Cuba,
211,0.0628,727,289267,548,526,10,133,-7393,1,0.0291,107826,4.0,0.93,1,Every 1's A Winner - Single Version,Hot Chocolate,
212,0.00919,0.45,201602,782,101,11,123,-6769,1,0.0364,173954,4.0,209,1,Unbound,Cathedrals,
213,0.0027,602,215518,764,0.0053,10,0.0822,-4897,0,0.0435,105997,5.0,468,1,Operate,ASTR,
214,385,415,359800,681,0.0,2,101,-4104,0,189,171893,4.0,372,1,Blood On The Leaves,Kanye West,
215,0.0304,614,315000,838,0.000297,10,166,-6896,1,28,127971,4.0,584,1,Come Save Me,Jagwar Ma,
216,105,901,212712,744,7.79e-06,0,0.0964,-3484,1,283,135.95,4.0,606,1,Hannah Montana,Migos,
217,359,0.7,218733,986,0.0221,0,963,-4403,1,0.0573,123033,4.0,0.64,1,High School Lover,Cayucas,
218,119,583,202710,843,0.0,1,602,-7416,0,409,108066,5.0,422,1,They Come in Gold,Shabazz Palaces,
219,0.0112,0.6,215000,586,535,7,115,-9414,1,0.0296,129952,4.0,193,1,Tides of Neptune,Virgo,
220,251,786,255094,706,213,9,142,-6212,0,0.0537,120011,4.0,318,1,Cocaine Model,ZHU,
221,0.0696,512,287147,821,0.33,9,0.0998,-7442,0,0.0334,149988,4.0,396,1,Light House,Future Islands,
222,403,791,199973,664,0.0,7,0.61,-5713,1,0.0831,149939,4.0,0.96,1,Pass The Dutchie,Musical Youth,
223,849,533,378253,213,565,3,449,-13437,0,0.0342,80004,4.0,196,1,Words I Don't Remember,How To Dress Well,
224,0.0862,731,178987,0.75,0.000388,2,202,-10457,1,0.0321,135406,4.0,648,1,I Would Die 4 U,Prince,
225,0.000156,853,356560,532,0.88,1,0.0643,-13443,1,121,99989,4.0,499,1,Bless My Soul,Nightmares On Wax,
