song_title;artist
Papi Pacify;FKA twigs
Callie (feat. Vic Mensa);Donnie Trumpet
Wu-Tang Forever;Drake
Confess To Me;Disclosure
New Slaves;Kanye West
Sexy Socialite;Chromeo
Okay;Holy Ghost!
When A Fire Starts To Burn;Disclosure
The Wire;HAIM
Now Is Not The Time;CHVRCHES
Ride On / Right On;Phosphorescent
Mercy;Kanye West
Don't You Evah;Spoon
We Exist;Arcade Fire
Le Goudron (Edit);YACHT
Hannah Montana;Migos
Cocaine Model;ZHU
I Would Die 4 U;Prince
Heaven And Hell Is On Earth;20th Century Steel Band
Upper Echelon;Travis Scott
Got To Give It Up (Part 1);Marvin Gaye
Sanctified;Rick Ross
Dangerous (feat. Joywave);Big Data
Counting;Autre Ne Veut
Hold On We're Going Home;ASTR
Glad I Met You;D. Gookin
Glyde 2nyte (feat. Leon Sylvers III, Leon Sylvers IV);Dâm-Funk
Clouds Over the Pacific;James Pants
Flashlight;Parliament
Better;Banks
WTF (Where They From) [feat. Pharrell Williams];Missy Elliott
Again;Fetty Wap
Exchange;Bryson Tiller
Cool It Now;New Edition
River;Ibeyi
Batuque (Jeremy Sole & Atropolis Remix);Dom La Nena
Locket;Kilo Kish
Rhythm of Devotion;Sisyphus
Zion Gate Dub;King Tubby
Fried Neck Bones And Some Home Fries - Dan The Automator Remix;Willie Bobo
Alright;Logic
Hazelton Trump;OB OBrien
I'm Ya Dogg;Snoop Dogg
Johnny Was;Bob Marley & The Wailers
Kathy Lee;Jessy Lanza
Love Buzz;Shocking Blue
Disco Devil;"Lee ""Scratch"" Perry"
Who Is He (And What Is He to You?);Bill Withers
"I'll Be Good - 12"" Mix";Rene & Angela
Here I Come (Broader Than Broadway);Barrington Levy
Atomic Bomb;William Onyeabor
World Restart;Kindness
Swingin' Party;Kindness
Antidote;Travis Scott
Pieces;Tanlines
Shooting Stars;Bag Raiders
Pacifier;Young Thug
Unbreakable;Janet Jackson
Choices (Yup);E-40
Number One;Tuxedo
Sick Beat;Kero Kero Bonito
She a Go (feat. Spinn & Taso);DJ Rashad
Buffalo;Toro y Moi
Talk About;Les Sins
Probably Nu It;Tree
Mamacita;Travis Scott
Champagne Coast;Blood Orange
Pains;Silk Rhodes
Flex (Ooh, Ooh, Ooh);Rich Homie Quan
Outro;M83
Slyd;!!!
Wait for a Minute;tUnE-yArDs
Huarache Lights;Hot Chip
Leave House;Caribou
Who Is He And What Is He To You;Creative Source
I Wish;Stevie Wonder
More Bounce To The Ounce;Zapp
Outlaw;War
Walking Into Sunshine;Central Line
Flutes;Hot Chip
Cry Like A Ghost;Passion Pit
Swimming Pools (Drank) - Extended Version;Kendrick Lamar
Losing You;Solange
Are you... Can you... Were you? (Felt);Shabazz Palaces
Midnight City;M83
Civilization;Justice
Principles;Benoit & Sergio
Dead Wrong;Hanni El Khatib
Osaka Loop Line;Discovery
Danger! High Voltage (Soulchild Radio Mix);Electric Six
You Don't Love Me (No No No);Dawn Penn
How Do You See Me Now;Zdar
See Me Now;Cassius
Dance Our Way;DJ Eleven
Flashing Lights;DJ Ayres
Bizness;tUnE-yArDs
Long Heels Red Bottoms;Trina
Jealousy;Martin Solveig
Love In Motion - feat. Mayer Hawthorne;Sebastian
Save the World;Swedish House Mafia
On'n'On - Ruined by Rick Rubin;Justice
Night And Day;Hot Chip
Function - feat. YG, IAmSu & Problem;E-40
Changes;Crazy P
Slow Down;Poolside
The Kids Were Wrong;Memoryhouse
Der Kommissar;After The Fire
Slow Down;Clyde Carson
Genesis;Grimes
Two Of Hearts;Stacey Q
Can I Kick It?;A Tribe Called Quest
Sure Thing;Miguel
Outro;M83
Money Trees;Kendrick Lamar
Birthday Song;2 Chainz
Kerosene;Crystal Castles
Pale Flesh;Crystal Castles
Anything New;Bibio
Adorn;Miguel
Louie Louie;Toots & The Maytals
Under Mi Sensi;Barrington Levy
Murderer;Barrington Levy
All Of Me;Tanlines
Females Welcomed (feat. Reija Lee);Trinidad James
Love Sosa;Chief Keef
See Blind Through;Canyons
Stomp - Dirty;5kinAndBone5
C'Est La Vie;Booba
Caramel;Booba
O.G;Booba
Gucci On The Rise;Gucci Mane
Hate Bein' Sober;Chief Keef
Traffic;Lil Reese
Hold Me Back;Rick Ross
Oldie;Odd Future
Started From the Bottom;Drake
Dum Dum;Baauer
Gone, Gone;Juicy J
Rock Creek Park;The Blackbyrds
Leaving Babylon;Bad Brains
Piss Test (feat. Juicy J & Dany Brown);A-Trak
Can't Seem To Make You Mine;Sky Saxon & The Seeds
Elevate - Q45 Remix;Toni Toni Lee
Second Summer;YACHT
Walk In The Park;Beach House
Reckless (With Your Love);Azari & III
(Bonus) Break Her Down;Iamsu!
8 Feet Tall;Problem
Trill Hoe;Western Tink
Sweater Weather;The Neighbourhood
Lofticries;Purity Ring
I'm Different;2 Chainz
Get Lucky - Radio Edit;Daft Punk
Had A Dream;EMP DASME
Now Is Not the Time;CHVRCHES
Kids;Iamsu!
Get Free (feat. Amber of Dirty Projectors);Major Lazer
The Lion - Original Mix;The Partysquad
For Your Love - Club Edit;The Partysquad
One of Those Nights;Juicy J
Get Lucky - Daft Punk Remix;Daft Punk
Ride The Rhythm;On The House featuring Marshall Jefferson
Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic];Major Lazer
Wop (Official Version);J. Dash
Don’t Drop That Thun Thun;Finatticz
Swing;Savage
Bounce It;Juicy J
Pu$$y Magnet (feat. Keayshawn);Roach Gigz
I Wanna Be With You;DJ Khaled
Gas Pedal (feat. IamSu);Sage The Gemini
VERSACE;Flap Jack
Players Anthem;UGK
Hold On, We're Going Home;Drake
Drippin;MiM0SA
I Need You;Glass Figure
Northern Lights;Kate Boy
Shabba;A$AP Ferg
Work REMIX;A$AP Ferg
Holding On - Jerome LOL Remix;Classixx
Music Is the Answer - Original Extended 12-Inch Mix;Celeda
Test Me;Flosstradamus & DJ Sliink
No New Friends - SFTB Remix;DJ Khaled
R.I.P.;Jeezy
Marc Jacobs;Riff Raff
Time Has Come Today;The Chambers Brothers
Wearing My Rolex - Radio Edit;Wiley
Jack;Breach
Tennis Court;Lorde
Primetime (feat. Miguel);Janelle Monáe
Hold On, We're Going Home;Drake
You're Not Good Enough;Blood Orange
Shabba;A$AP Ferg
Work REMIX;A$AP Ferg
Dope;Tyga
Don't Let It Get to Your Head;Black Harmony
Drunk in Love;Beyoncé
Collard Greens;ScHoolboy Q
1977;Ana Tijoux
Latino & Proud;DJ Raff
Move That Dope;Future
Synchronize;Discodeine
North North;Project Pat
Hot N*gga;Bobby Shmurda
Natty Dread A Weh She Want;Horace Andy
18 With A Bullet;Pete Wingfield
Made Me;Snootie Wild
Damn Son, Where'd You Find This? - Future of TRAP Mix;Trendsetter
I'm in LOVE With GO-GO Dancer (Disco Diva) - Future of TRAP Mix;Trendsetter
Damn Son Where'd You Find This? (feat. Kelly Holiday) - Markus Maximus Remix;Markus Maximus
My Main;Mykfresh
Give Me The Sunshine;Leo's Sunshipp
Topless;Orlando Julius
Blow a Bag;Future
Ain't got nobody;Sísý Ey
Too Bad I Have To Destroy You Now;Kid Cudi
Make It;Patrick Di Stefano
I'll Be Good;Rene & Angela
Defected In The House Ibiza 2013 Mixtape;Simon Dunmore
Akue We Non Houme - Jerk Fon;T. P. Orchestre Poly-Rythmo
Your Love;Mick Jenkins
What I Might Do - Kilter Remix;Ben Pearce
Agorinha;Sango
Something About You - Extended Mix;Hayden James
All I Wanna Do;The Beach Boys
Water;Jamaican Queens
Jack;Breach
Jack;Breach
No Eyes (Radio Edit);Claptone
Fanfare;Magic City Hippies
Dorothy;Polo & Pan
Paris Groove (Original Mix);Boston Bun
Nothing;HNNY
Let Me Try;Kaleidoscope
Thinking of You;Lord Echo
Said So What;French Kicks
No Heart;21 Savage
We Want Some Pussy;Ezale
We Out Here;Ezale
Bad and Boujee (feat. Lil Uzi Vert);Migos
On the Lips;Frankie Cosmos
Big Jet Plane - Animal Trainer Remix;Jan Blomqvist
Bambi;Jidenna
For Free;DJ Khaled
Get Lucky;Daft Punk
Bugatti;Ace Hood
Versace;Migos
Black Skinhead;Kanye West
Type of Way;Rich Homie Quan
Bitter Rivals;Sleigh Bells
Gonna Die;Autre Ne Veut
GOT IT GOOD;KAYTRANADA
Something About You - ODESZA Remix;Hayden James
Want My Love;Cathedrals
Treat Me Like Fire;LION BABE
Hood Pass Intact;Dâm-Funk
Let's Dance (Single Version) [2002 Remastered Version];David Bowie
No Sleep Till Brooklyn;Beastie Boys
F**kin' Problems;A$AP Rocky
Swerve... the reeping of all that is worthwhile (Noir not withstanding);Shabazz Palaces
212;Azealia Banks
Father Stretch My Hands Pt. 1;Kanye West
No Security;Skepta
Fam;Saskilla
Mr Skeng;Stormzy
I Win;Lethal Bizzle
Bad Boys (feat. Ghetts and J Hus);Stormzy
Thiago Silva;Dave
Losing Sleep;Chris Young
Roots;Zac Brown Band
Man Enough Now;Chris Bandi
All On Me;Devin Dawson
Real Thing;Zac Brown Band
Love in a Bar;Ryan Hurd
Star Of The Show;Thomas Rhett
Felices los 4;Maluma
Me Rehúso;Danny Ocean
Chantaje;Shakira
Sigo Extrañándote;J Balvin
Otra Vez (feat. J Balvin);Zion & Lennox
Hey DJ;CNCO
Tu Foto;Ozuna
Te Quiero Pa´Mi;Don Omar
Traicionera;Sebastian Yatra
Si Tú La Ves;Nicky Jam
Bailame;Nacho
Dile Que Tu Me Quieres;Ozuna
Borro Cassette;Maluma
Chillax;Farruko
Bailame Despacio;Xantos
Shaky Shaky;Daddy Yankee
Hula Hoop;Daddy Yankee
Ya Me Enteré (feat. Nicky Jam) - Urban Version;Reik
Mi Tesoro (feat. Nicky Jam);Zion & Lennox
Si Me Dices Que Si (feat. Nicky Jam);Cosculluela
Fuego;Juanes
Bad Liar;Selena Gomez
Attention;Charlie Puth
Quit (feat. Ariana Grande);Cashmere Cat
The Cure;Lady Gaga
First Time;Kygo
No Vacancy;OneRepublic
Most Girls;Hailee Steinfeld
Now Or Never;Halsey
No Promises (feat. Demi Lovato);Cheat Codes
Slow Hands;Niall Horan
Bad Bitch (feat. Ty Dolla $ign);Bebe Rexha
Obsession (feat. Jon Bellion);Vice
Unforgettable;French Montana
HUMBLE.;Kendrick Lamar
do re mi;Blackbear
Whatever It Takes;Imagine Dragons
Selfish;Future
It Ain’t Me (with Selena Gomez);Kygo
Mama;Jonas Blue
The One;The Chainsmokers
TG4M;Zara Larsson
Mask Off;Future
Bon Appétit;Katy Perry
Sign of the Times;Harry Styles
That's What I Like;Bruno Mars
September Song;JP Cooper
Still Got Time;ZAYN
Scared to Be Lonely;Martin Garrix
Starships;Nicki Minaj
Lollipop;Lil Wayne
Dynamite;Taio Cruz
Clique;JAY Z
Classic;MKTO
Young, Wild & Free (feat. Bruno Mars);Snoop Dogg
Love You Like A Love Song;Selena Gomez & The Scene
"Sexy Bitch (feat. Akon) - Featuring Akon;explicit";David Guetta
Somebody;Natalie La Rose
Maps;Maroon 5
Am I Wrong;Nico & Vinz
Counting Stars;OneRepublic
Turn Down for What;DJ Snake
Get Lucky;Daft Punk
My House;Flo Rida
Do I Wanna Know?;Arctic Monkeys
Take Care;Drake
Blurred Lines;Robin Thicke
Swimming Pools (Drank) - Extended Version;Kendrick Lamar
Beautiful Girls - Radio Disney Version;Sean Kingston
Cool;Gwen Stefani
Broken Things;Matthew West
Unfinished;Mandisa
Run the Race;Holly Starr
To Live Is Christ;Sidewalk Prophets
King Of The World;Natalie Grant
10,000 Reasons (Bless the Lord) [Radio Version];Matt Redman
More Than Conquerors (Radio Version);Steven Curtis Chapman
VAMOS;Oohyo
Talk;10cm
Sleeping Habits;Donguy
너와의 공식 Love Equation;플랫핏 Flat Feet
Night Time Melody;Rude Paper
Sooni (I'm your fanatic girl);SunWoo Jung-A
All Eyes On You (feat. Chris Brown & Nicki Minaj);Meek Mill
Froze (feat. Lil Uzi Vert & Nicki Minaj);Meek Mill
She On My Dick;Rick Ross
I Think She Like Me;Rick Ross
Humble;Wahlstedt
Flashwind - Radio Edit;Ben Remember
Find You;Wahlstedt
Light - GOSLO Remix;San Holo
Modern Flame (feat. Yuna);Emmit Fenn
Chicken Soup;Skrillex
Something Just Like This - Don Diablo Remix;The Chainsmokers
I'm the One;DJ Khaled
There's Nothing Holdin' Me Back - NOTD Remix;Shawn Mendes
Bon Appétit - MUNA Remix;Katy Perry
Issues - Alan Walker Remix;Julia Michaels
Young;The Chainsmokers
Carolina;Harry Styles
High Without Your Love;Loote
Tuesday (feat. Danelle Sandoval);Burak Yeter
XO TOUR Llif3;Lil Uzi Vert
Kissing Strangers;DNCE
History;Olivia Holt
Calm Down;Skip Marley
Swish Swish;Katy Perry
Cool for the Summer;Demi Lovato
Safe;Bay Ledges
My Favorite Snack;Imagination Movers
Everytime We Touch;David Guetta - Sébastian Ingrosso - Joachim Garraud - Chris Willis - Steve Angello
Crash 2.0 (Adventure Club vs. DallasK);Adventure Club
Icarus - Black Caviar Remix;R3hab
Wild One Two - feat. David Guetta, Nicky Romero & Sia;Jack Back
Language;Porter Robinson
Faded;Alan Walker
Summer Dreams;Michael Brun
Skyscrapers;Daydreamer
Borrowed Lives (feat. NVDES);Pierce Fulton
Fireflies;Owl City
Vanilla Twilight;Owl City
You Make Me Wanna...;Usher
Can't You See;Total
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan);Lil Dicky
Calm Down;G-Eazy
Cold;Maroon 5
It Ain't Me (with Selena Gomez);Kygo
Crush;David Archuleta
Gone;Kina Grannis
Strong Enough;Kina Grannis
Bring It All to Me;Blaque
Too Close;Next
I'm So Into You;SWV
Wifey;Next
End Of The Road;Boyz II Men
I'll Make Love To You;Boyz II Men
Together Again;Janet Jackson
Pop - Radio Version;*NSYNC
As Long as You Love Me;Backstreet Boys
I'll Never Break Your Heart;Backstreet Boys
All I Have to Give;Backstreet Boys
I'll Be Missing You (feat. 112);Diddy
Stay;Ne-Yo
All My Life;K-Ci & JoJo
Take Me There - Remix;Blackstreet
Case Of The Ex (Whatcha Gonna Do);Mýa
My Love Is Like...Wo - Main Mix/Album Version;Mýa
Angel of Mine - Radio Mix;Monica
Two Wrongs;Wyclef Jean
Sweetest Girl (Dollar Bill);Wyclef Jean
Slow Jam;Usher
U Got It Bad;Usher
Let Me Love You;Mario
Jumpin', Jumpin';Destiny's Child
Bills, Bills, Bills;Destiny's Child
No More (Baby I'ma Do Right);3LW
Honeymoon Avenue;Ariana Grande
Put Your Arms Around Me;Natasha Bedingfield
Try Everything;Shakira
Secret Love;JoJo
Dear No One;Tori Kelly
Video;India.Arie
"Beauty and the Beast - From ""Beauty and the Beast""";Ariana Grande
I2I;Tevin Campbell
Eyes Wide Open;Sabrina Carpenter
"Wildside - From ""Adventures in Babysitting""";Sofia Carson
Billie Jean;Michael Jackson
P.Y.T. (Pretty Young Thing);Michael Jackson
If I Were a Boy;Beyoncé
With You;Chris Brown
"When Will My Life Begin - From ""Tangled""/Soundtrack Version";Mandy Moore
Dreams;The Cranberries
Breathe Again;Toni Braxton
You're Makin' Me High;Toni Braxton
One Of Those Love Songs;Xscape
Adventurers;Holley Maher
Bath Salts;Travis Hayes
Good;Better Than Ezra
Why I'm Here;Oleander
Someday - Remastered;Sugar Ray
What's Up?;4 Non Blondes
Blister in the Sun - 2002 Remastered Version;Violent Femmes
SexyBack;Justin Timberlake
I Gotta Feeling;The Black Eyed Peas
...Baby One More Time;Britney Spears
Fantasy;Mariah Carey
No Scrubs;TLC
I Want It That Way;Backstreet Boys
Meet Virginia;Train
Jump;Kris Kross
Don't Cha;The Pussycat Dolls
Where Is The Love?;The Black Eyed Peas
Don't Stop The Music;Rihanna
Poker Face;Lady Gaga
Achy Breaky Heart;Billy Ray Cyrus
Jenny from the Block - Track Masters Remix;Jennifer Lopez
(Everything I Do) I Do It For You;Bryan Adams
Ice Ice Baby;Vanilla Ice
Touch Me (I Want Your Body);Samantha Fox
Girl You Know It's True;Milli Vanilli
Mysterious Girl;Peter Andre
Hoochie Mama;2 LIVE CREW
Fuck You Bitch;Wheeler Walker Jr.
Fog On the Tyne;Lindisfarne
Fuck Kd;StaRR Lyfe
Party Monster;The Weeknd
Oh Devil;Electric Guest
Faded - Slushii Remix;Alan Walker
Call On Me - EDWYNN X TIKAL, Spirix Remix;Starley
Candy;Dillon Francis
